rule,mark,self_buy_floor,flow_mult,max_entry_mult,trail_pct,tp_mult,hard_stop_pct,time_stop_s,loop1_triggers,loop1_wins,loop1_pnl_usd,loop1_pnl_ex_best_usd,loop1_hits_caught,loop1_misses_entered,loop1_worst_usd,loop1_median_usd,loop2_triggers,loop2_wins,loop2_pnl_usd,loop2_pnl_ex_best_usd,loop2_hits_caught,loop2_misses_entered,loop2_worst_usd,loop2_median_usd,min_ex_best,total_pnl,wr
hold,120,0.2,1.5,5,0.5,5,0.5,900,6,4,395.17,200.98,4,2,-30.18,34.58,6,3,280.28,-56.01,2,4,-51.98,2.26,-56.01,675.45,0.5833333333333334
hold,120,0.2,1.5,5,0.5,5,0.5,1800,6,4,403.34,209.15,4,2,-30.18,38.67,6,4,327.11,-9.18,2,4,-51.98,5.49,-9.18,730.45,0.6666666666666666
hold,120,0.35,1.5,0,0.4,0,0.3,900,10,4,310.15,124.27,9,1,-20.81,-7.74,7,3,-95.52,-132.97,2,5,-52.18,-1.42,-132.97,214.63,0.4117647058823529
hold,120,0.35,1.5,0,0.4,0,0.3,1800,10,4,974.95,99.63,9,1,-20.81,-7.74,7,4,-48.69,-107.71,2,5,-52.18,2.93,-107.71,926.26,0.47058823529411764
hold,120,0.35,1.5,0,0.4,0,0.5,900,10,6,440.02,254.14,9,1,-15.42,22.7,7,3,-95.52,-132.97,2,5,-52.18,-1.42,-132.97,344.5,0.5294117647058824
hold,120,0.35,1.5,0,0.4,0,0.5,1800,10,6,1048.24,172.92,9,1,-15.42,16.71,7,4,-48.69,-107.71,2,5,-52.18,2.93,-107.71,999.55,0.5882352941176471
hold,120,0.35,1.5,0,0.4,5,0.3,900,10,4,362.51,168.32,9,1,-20.81,-7.74,7,3,-95.52,-132.97,2,5,-52.18,-1.42,-132.97,266.99,0.4117647058823529
hold,120,0.35,1.5,0,0.4,5,0.3,1800,10,4,337.87,143.68,9,1,-20.81,-7.74,7,4,-48.69,-107.71,2,5,-52.18,2.93,-107.71,289.18,0.47058823529411764
hold,120,0.35,1.5,0,0.4,5,0.5,900,10,6,492.38,298.19,9,1,-15.42,22.7,7,3,-95.52,-132.97,2,5,-52.18,-1.42,-132.97,396.86,0.5294117647058824
hold,120,0.35,1.5,0,0.4,5,0.5,1800,10,6,411.16,216.97,9,1,-15.42,16.71,7,4,-48.69,-107.71,2,5,-52.18,2.93,-107.71,362.47,0.5882352941176471
hold,120,0.35,1.5,0,0.5,0,0.3,900,10,5,300.55,114.67,9,1,-20.81,-1.74,7,3,-102.51,-132.97,2,5,-52.18,-1.42,-132.97,198.04000000000002,0.47058823529411764
hold,120,0.35,1.5,0,0.5,0,0.3,1800,10,4,942.14,66.82,9,1,-20.81,-5.81,7,4,40.4,-86.14,2,5,-52.18,2.93,-86.14,982.54,0.47058823529411764
hold,120,0.35,1.5,0,0.5,0,0.5,900,10,7,430.42,244.54,9,1,-15.91,26.14,7,3,-102.51,-132.97,2,5,-52.18,-1.42,-132.97,327.91,0.5882352941176471
hold,120,0.35,1.5,0,0.5,0,0.5,1800,10,6,1024.35,149.03,9,1,-16.0,12.02,7,4,40.4,-86.14,2,5,-52.18,2.93,-86.14,1064.75,0.5882352941176471
hold,120,0.35,1.5,0,0.5,5,0.3,900,10,5,379.96,185.77,9,1,-20.81,-1.74,7,3,-102.51,-132.97,2,5,-52.18,-1.42,-132.97,277.45,0.47058823529411764
hold,120,0.35,1.5,0,0.5,5,0.3,1800,10,5,3665.36,348.11,9,1,-20.81,4.81,7,4,40.4,-86.14,2,5,-52.18,2.93,-86.14,3705.76,0.5294117647058824
hold,120,0.35,1.5,0,0.5,5,0.5,900,10,7,509.83,315.64,9,1,-15.91,26.14,7,3,-102.51,-132.97,2,5,-52.18,-1.42,-132.97,407.32,0.5882352941176471
hold,120,0.35,1.5,0,0.5,5,0.5,1800,10,7,3747.57,430.32,9,1,-15.42,16.26,7,4,40.4,-86.14,2,5,-52.18,2.93,-86.14,3787.9700000000003,0.6470588235294118
hold,120,0.35,1.5,3,0.4,0,0.3,900,2,2,191.32,5.44,2,0,5.44,95.66,0,0,0.0,0.0,0,0,0.0,0.0,0.0,191.32,1.0
hold,120,0.35,1.5,3,0.4,0,0.3,1800,2,2,895.55,20.23,2,0,20.23,447.78,0,0,0.0,0.0,0,0,0.0,0.0,0.0,895.55,1.0
hold,120,0.35,1.5,3,0.4,0,0.5,900,2,2,191.32,5.44,2,0,5.44,95.66,0,0,0.0,0.0,0,0,0.0,0.0,0.0,191.32,1.0
hold,120,0.35,1.5,3,0.4,0,0.5,1800,2,2,895.55,20.23,2,0,20.23,447.78,0,0,0.0,0.0,0,0,0.0,0.0,0.0,895.55,1.0
hold,120,0.35,1.5,3,0.4,5,0.3,900,2,2,199.63,5.44,2,0,5.44,99.82,0,0,0.0,0.0,0,0,0.0,0.0,0.0,199.63,1.0
hold,120,0.35,1.5,3,0.4,5,0.3,1800,2,2,214.42,20.23,2,0,20.23,107.21,0,0,0.0,0.0,0,0,0.0,0.0,0.0,214.42,1.0
hold,120,0.35,1.5,3,0.4,5,0.5,900,2,2,199.63,5.44,2,0,5.44,99.82,0,0,0.0,0.0,0,0,0.0,0.0,0.0,199.63,1.0
hold,120,0.35,1.5,3,0.4,5,0.5,1800,2,2,214.42,20.23,2,0,20.23,107.21,0,0,0.0,0.0,0,0,0.0,0.0,0.0,214.42,1.0
hold,120,0.35,1.5,3,0.5,0,0.3,900,2,2,191.32,5.44,2,0,5.44,95.66,0,0,0.0,0.0,0,0,0.0,0.0,0.0,191.32,1.0
hold,120,0.35,1.5,3,0.5,0,0.3,1800,2,2,895.55,20.23,2,0,20.23,447.78,0,0,0.0,0.0,0,0,0.0,0.0,0.0,895.55,1.0
hold,120,0.35,1.5,3,0.5,0,0.5,900,2,2,191.32,5.44,2,0,5.44,95.66,0,0,0.0,0.0,0,0,0.0,0.0,0.0,191.32,1.0
hold,120,0.35,1.5,3,0.5,0,0.5,1800,2,2,895.55,20.23,2,0,20.23,447.78,0,0,0.0,0.0,0,0,0.0,0.0,0.0,895.55,1.0
hold,120,0.35,1.5,3,0.5,5,0.3,900,2,2,199.63,5.44,2,0,5.44,99.82,0,0,0.0,0.0,0,0,0.0,0.0,0.0,199.63,1.0
hold,120,0.35,1.5,3,0.5,5,0.3,1800,2,2,214.42,20.23,2,0,20.23,107.21,0,0,0.0,0.0,0,0,0.0,0.0,0.0,214.42,1.0
