dev,group,metric,n,median,p25,p75,min,max,note
slingoor,all,launch_hour_utc:13,2,,,,,,launches created in this UTC hour (all rows of the launch list)
slingoor,all,launch_hour_utc:15,3,,,,,,launches created in this UTC hour (all rows of the launch list)
slingoor,all,launch_hour_utc:16,2,,,,,,launches created in this UTC hour (all rows of the launch list)
slingoor,all,launch_hour_utc:17,1,,,,,,launches created in this UTC hour (all rows of the launch list)
slingoor,all,launch_hour_utc:19,2,,,,,,launches created in this UTC hour (all rows of the launch list)
slingoor,all,launch_hour_utc:20,3,,,,,,launches created in this UTC hour (all rows of the launch list)
slingoor,all,launch_hour_utc:21,2,,,,,,launches created in this UTC hour (all rows of the launch list)
slingoor,all,launch_hour_utc:22,3,,,,,,launches created in this UTC hour (all rows of the launch list)
slingoor,all,launch_hour_utc:23,1,,,,,,launches created in this UTC hour (all rows of the launch list)
slingoor,hits,launch_hour_utc:02,2,,,,,,
slingoor,hits,launch_hour_utc:05,3,,,,,,
slingoor,hits,launch_hour_utc:13,1,,,,,,
slingoor,hits,launch_hour_utc:17,1,,,,,,
slingoor,hits,launch_hour_utc:19,2,,,,,,
slingoor,hits,launch_hour_utc:20,1,,,,,,
slingoor,hits,launch_hour_utc:21,1,,,,,,
slingoor,hits,launch_hour_utc:22,2,,,,,,
slingoor,hits,launch_hour_utc:23,1,,,,,,
slingoor,all,launch_weekday:Fri,4,,,,,,
slingoor,all,launch_weekday:Mon,4,,,,,,
slingoor,all,launch_weekday:Sat,7,,,,,,
slingoor,all,launch_weekday:Sun,3,,,,,,
slingoor,all,launch_weekday:Thu,9,,,,,,
slingoor,all,launch_weekday:Tue,2,,,,,,
slingoor,all,launch_weekday:Wed,3,,,,,,
slingoor,all,gap_between_launches_h,31,13.812222222222223,3.3658333333333332,45.067638888888894,0.06833333333333333,727.7433333333333,hours between consecutive launches
slingoor,all,n_gaps_lt_1h,6,,,,,,launch followed by another within 1 h
slingoor,all,n_gaps_lt_24h,18,,,,,,
slingoor,all,span_days,32,74.79297453703704,,,,,median = days from first to last launch
slingoor,all,hour_utc,32,15.0,4.5,20.0,0.0,23.0,distribution of the UTC hour of creation
slingoor,all,book_bundler_rate,32,0.0,0.0,0.0114,0.0,0.0666,dev_tokens.bundler_rate
retardmode,all,dev_supply_share,19,0.151773183854206,0.0504187831425325,0.353410507880762,0.034165003950986,0.5731257271252,
retardmode,all,dev_first_buy_sol,19,4.943819952,1.488385041,14.7353709205,0.9885690640000001,47.29057467597376,
retardmode,all,dev_same_slot_buyers,19,1.0,0.0,2.5,0.0,5.0,
retardmode,all,dev_fee_lamports_med,19,11000.0,7000.0,104092.5,4000.0,645000.0,
retardmode,all,dev_fee_first_tx,19,11000.0,10000.0,30000.0,8500.0,645000.0,
retardmode,all,dev_first_sell_s,12,7.5,6.0,78.75,5.0,124.0,
retardmode,all,dev_sold_share_30m,19,0.7606367201971358,0.0,1.0,0.0,1.0,
retardmode,all,dev_sell_sol_30m,19,1.74433017,0.0,11.988788723082546,0.0,61.012755147054605,
retardmode,all,dev_sold_share_60s,19,0.0,0.0,0.6093749999999982,0.0,1.0,
retardmode,all,dev_sold_share_300s,19,0.7187499999999963,0.0,1.0,0.0,1.0,
retardmode,all,grad_s,4,717.0,649.5,980.25,480.0,1737.0,
retardmode,all,peak10_mult,19,2.6536344078392324,1.6650784114701112,4.053098356705633,1.046336715703602,71.0259266713501,
retardmode,all,peak10_ts_s,19,120.0,0.0,800.0,0.0,1790.0,
retardmode,all,sol_in_1m,19,46.35215296297196,13.2450954255,65.278252313,2.908068604,152.72638453030083,
retardmode,all,sol_in_5m,19,49.12560263703248,24.319941054000004,104.4500527575,2.908068604,372.88325188682074,
retardmode,all,n_wallets_1m,19,37.0,9.0,64.5,4.0,155.0,
retardmode,all,n_wallets_5m,19,59.0,35.5,122.5,4.0,365.0,
retardmode,all,n_launches,19,,,,,,measurable launches (with trades)
retardmode,all,n_dev_sold_in_window,12,,,,,,launches with a dev sell in the window
retardmode,all,n_dev_sold_by_60s,8,,,,,,
retardmode,all,n_dev_sold_by_300s,12,,,,,,
retardmode,all,n_non_sol_quote,4,,,,,,launches quoted in a token other than SOL
retardmode,all,n_graduated_in_window,4,,,,,,curve completed inside the 30-min window
retardmode,all,n_graduated_by_60s,0,,,,,,
retardmode,all,n_dev_buy_in_create_slot,19,,,,,,dev_first_buy_s == 0
retardmode,all,launchpad:Pump.fun,19,,,,,,dev_tokens.launchpad_platform
retardmode,hits,dev_supply_share,4,0.417792641530329,0.2957039265802553,0.5054497983920238,0.124733323581942,0.5731257271252,
retardmode,hits,dev_first_buy_sol,4,19.6209947525,12.005301881999998,30.23585612774344,3.948088848,47.29057467597376,
retardmode,hits,dev_same_slot_buyers,4,0.5,0.0,1.25,0.0,2.0,
