mark,self_buy_floor,trail_pct,tp_mult,hard_stop_pct,time_stop_s,triggers,wins,pnl_usd,avg_usd,median_usd,worst_usd,hits_caught,hits_total,misses_entered,pnl_ex_best_usd
dev,0.5,0.3,0,0.5,900,8,5,205.18,25.65,11.96,-28.07,7,18,1,80.18
dev,0.5,0.3,0,0.5,1800,8,5,187.63,23.45,11.96,-28.07,7,18,1,62.63
dev,0.5,0.3,3,0.4,900,8,5,193.21,24.15,11.96,-28.07,7,18,1,81.61
dev,0.5,0.3,3,0.4,1800,8,5,193.21,24.15,11.96,-28.07,7,18,1,81.61
dev,0.5,0.3,3,0.5,900,8,5,188.92,23.62,11.96,-28.07,7,18,1,77.32
dev,0.5,0.3,3,0.5,1800,8,5,188.92,23.62,11.96,-28.07,7,18,1,77.32
dev,0.5,0.3,5,0.4,900,8,5,278.66,34.83,11.96,-28.07,7,18,1,84.47
dev,0.5,0.3,5,0.4,1800,8,5,261.11,32.64,11.96,-28.07,7,18,1,66.92
dev,0.5,0.3,5,0.5,900,8,5,274.37,34.3,11.96,-28.07,7,18,1,80.18
dev,0.5,0.3,5,0.5,1800,8,5,256.82,32.1,11.96,-28.07,7,18,1,62.63
dev,0.5,0.4,0,0.4,900,8,5,365.89,45.74,14.44,-28.07,7,18,1,180.01
dev,0.5,0.4,0,0.4,1800,8,5,960.19,120.02,14.44,-28.07,7,18,1,84.87
dev,0.5,0.4,0,0.5,900,8,5,361.6,45.2,14.44,-28.07,7,18,1,175.72
dev,0.5,0.4,0,0.5,1800,8,5,955.9,119.49,14.44,-28.07,7,18,1,80.58
dev,0.5,0.4,3,0.4,900,8,5,286.97,35.87,14.44,-28.07,7,18,1,175.37
dev,0.5,0.4,3,0.4,1800,8,5,286.97,35.87,14.44,-28.07,7,18,1,175.37
dev,0.5,0.4,3,0.5,900,8,5,282.68,35.34,14.44,-28.07,7,18,1,171.08
dev,0.5,0.4,3,0.5,1800,8,5,282.68,35.34,14.44,-28.07,7,18,1,171.08
dev,0.5,0.4,5,0.4,900,8,5,374.2,46.78,14.44,-28.07,7,18,1,180.01
dev,0.5,0.4,5,0.4,1800,8,5,279.06,34.88,14.44,-28.07,7,18,1,84.87
dev,0.5,0.4,5,0.5,900,8,5,369.91,46.24,14.44,-28.07,7,18,1,175.72
dev,0.5,0.4,5,0.5,1800,8,5,274.77,34.35,14.44,-28.07,7,18,1,80.58
dev,0.5,0.5,0,0.4,900,8,5,397.44,49.68,30.21,-28.07,7,18,1,211.56
dev,0.5,0.5,0,0.4,1800,8,5,982.92,122.86,18.98,-28.07,7,18,1,107.6
dev,0.5,0.5,0,0.5,900,8,5,393.15,49.14,30.21,-28.07,7,18,1,207.27
dev,0.5,0.5,0,0.5,1800,8,5,978.63,122.33,18.98,-28.07,7,18,1,103.31
dev,0.5,0.5,3,0.4,900,8,5,318.52,39.82,30.21,-28.07,7,18,1,206.92
dev,0.5,0.5,3,0.4,1800,8,5,318.52,39.82,30.21,-28.07,7,18,1,206.92
dev,0.5,0.5,3,0.5,900,8,5,314.23,39.28,30.21,-28.07,7,18,1,202.63
dev,0.5,0.5,3,0.5,1800,8,5,314.23,39.28,30.21,-28.07,7,18,1,202.63
dev,0.5,0.5,5,0.4,900,8,5,405.75,50.72,30.21,-28.07,7,18,1,211.56
dev,0.5,0.5,5,0.4,1800,8,5,301.79,37.72,18.98,-28.07,7,18,1,107.6
dev,0.5,0.5,5,0.5,900,8,5,401.46,50.18,30.21,-28.07,7,18,1,207.27
dev,0.5,0.5,5,0.5,1800,8,5,297.5,37.19,18.98,-28.07,7,18,1,103.31
90,0.2,0.3,0,0.4,900,16,9,332.9,20.81,6.8,-34.03,12,18,4,158.78
90,0.2,0.3,0,0.4,1800,16,9,306.57,19.16,6.8,-34.03,12,18,4,132.45
90,0.2,0.3,0,0.5,900,16,9,321.39,20.09,6.8,-34.03,12,18,4,147.27
90,0.2,0.3,0,0.5,1800,16,9,295.06,18.44,6.8,-34.03,12,18,4,120.94
90,0.2,0.3,3,0.4,900,16,9,275.52,17.22,6.8,-34.03,12,18,4,165.16
90,0.2,0.3,3,0.4,1800,16,9,249.19,15.57,6.8,-34.03,12,18,4,138.83
90,0.2,0.3,3,0.5,900,16,9,264.01,16.5,6.8,-34.03,12,18,4,153.65
90,0.2,0.3,3,0.5,1800,16,9,237.68,14.86,6.8,-34.03,12,18,4,127.32
90,0.2,0.3,5,0.4,900,16,9,373.35,23.33,6.8,-34.03,12,18,4,158.78
90,0.2,0.3,5,0.4,1800,16,9,347.02,21.69,6.8,-34.03,12,18,4,132.45
90,0.2,0.3,5,0.5,900,16,9,361.84,22.62,6.8,-34.03,12,18,4,147.27
90,0.2,0.3,5,0.5,1800,16,9,335.51,20.97,6.8,-34.03,12,18,4,120.94
90,0.2,0.4,0,0.4,900,16,9,642.14,40.13,18.55,-34.03,12,18,4,363.24
90,0.2,0.4,0,0.4,1800,16,9,1705.76,106.61,22.32,-34.03,12,18,4,573.64
90,0.2,0.4,0,0.5,900,16,9,630.63,39.41,18.55,-34.03,12,18,4,351.73
90,0.2,0.4,0,0.5,1800,16,9,1694.25,105.89,22.32,-34.03,12,18,4,562.13
90,0.2,0.4,3,0.4,900,16,9,443.62,27.73,18.55,-34.03,12,18,4,333.26
90,0.2,0.4,3,0.4,1800,16,9,488.69,30.54,22.32,-34.03,12,18,4,378.33
90,0.2,0.4,3,0.5,900,16,9,432.11,27.01,18.55,-34.03,12,18,4,321.75
90,0.2,0.4,3,0.5,1800,16,9,477.18,29.82,22.32,-34.03,12,18,4,366.82
90,0.2,0.4,5,0.4,900,16,9,652.73,40.8,18.55,-34.03,12,18,4,436.68
90,0.2,0.4,5,0.4,1800,16,9,862.13,53.88,22.32,-34.03,12,18,4,646.08
90,0.2,0.4,5,0.5,900,16,9,641.22,40.08,18.55,-34.03,12,18,4,425.17
90,0.2,0.4,5,0.5,1800,16,9,850.62,53.16,22.32,-34.03,12,18,4,634.57
90,0.2,0.5,0,0.4,900,16,10,636.77,39.8,18.55,-34.03,12,18,4,357.87
90,0.2,0.5,0,0.4,1800,16,9,1699.68,106.23,17.84,-34.03,12,18,4,567.56
90,0.2,0.5,0,0.5,900,16,10,625.26,39.08,18.55,-34.03,12,18,4,346.36
90,0.2,0.5,0,0.5,1800,16,9,1688.17,105.51,17.84,-34.03,12,18,4,556.05
90,0.2,0.5,3,0.4,900,16,10,464.88,29.06,18.55,-34.03,12,18,4,354.52
90,0.2,0.5,3,0.4,1800,16,9,486.14,30.38,17.84,-34.03,12,18,4,375.78
90,0.2,0.5,3,0.5,900,16,10,453.37,28.34,18.55,-34.03,12,18,4,343.01
90,0.2,0.5,3,0.5,1800,16,9,474.63,29.66,17.84,-34.03,12,18,4,364.27
90,0.2,0.5,5,0.4,900,16,10,673.99,42.12,18.55,-34.03,12,18,4,457.94
90,0.2,0.5,5,0.4,1800,16,9,882.68,55.17,17.84,-34.03,12,18,4,666.63
90,0.2,0.5,5,0.5,900,16,10,662.48,41.4,18.55,-34.03,12,18,4,446.43
90,0.2,0.5,5,0.5,1800,16,9,871.17,54.45,17.84,-34.03,12,18,4,655.12
90,0.35,0.3,0,0.4,900,10,6,241.03,24.1,8.74,-29.07,9,18,1,66.91
90,0.35,0.3,0,0.4,1800,10,6,247.91,24.79,11.98,-29.07,9,18,1,73.79
90,0.35,0.3,0,0.5,900,10,6,236.96,23.7,8.74,-29.07,9,18,1,62.84
90,0.35,0.3,0,0.5,1800,10,6,243.84,24.38,11.98,-29.07,9,18,1,69.72
90,0.35,0.3,3,0.4,900,10,6,163.71,16.37,8.74,-29.07,9,18,1,66.91
90,0.35,0.3,3,0.4,1800,10,6,170.59,17.06,11.98,-29.07,9,18,1,73.79
90,0.35,0.3,3,0.5,900,10,6,159.64,15.96,8.74,-29.07,9,18,1,62.84
90,0.35,0.3,3,0.5,1800,10,6,166.52,16.65,11.98,-29.07,9,18,1,69.72
90,0.35,0.3,5,0.4,900,10,6,281.48,28.15,8.74,-29.07,9,18,1,66.91
90,0.35,0.3,5,0.4,1800,10,6,288.36,28.84,11.98,-29.07,9,18,1,73.79
90,0.35,0.3,5,0.5,900,10,6,277.41,27.74,8.74,-29.07,9,18,1,62.84
90,0.35,0.3,5,0.5,1800,10,6,284.29,28.43,11.98,-29.07,9,18,1,69.72
90,0.35,0.4,0,0.4,900,10,6,513.23,51.32,18.87,-29.07,9,18,1,234.33
90,0.35,0.4,0,0.4,1800,10,6,1326.18,132.62,22.32,-29.07,9,18,1,194.06
