dev,mark,column,hits_n,hits_med,hits_p25,hits_p75,miss_n,miss_med,miss_p25,miss_p75
hashbergers,5m,net_sol_5m,2,84.274564487,43.32634918000001,125.22277979400002,10,0.4031110669999999,0.0019418487499996417,1.797206279750002
hashbergers,5m,n_buys_5m,2,438.0,260.5,615.5,10,14.5,4.25,37.75
hashbergers,5m,n_wallets_5m,2,288.0,180.5,395.5,10,14.5,4.25,35.5
hashbergers,5m,member_buy_sol_5m,2,0.989229929,0.4946149645,1.4838448935,10,0.0,0.0,0.0
hashbergers,5m,member_buyers_5m,2,0.5,0.25,0.75,10,0.0,0.0,0.0
hashbergers,5m,outside_buy_sol_5m,2,296.69621829100004,162.26862151199998,431.12381507000003,10,6.500469597,1.28158439125,14.637689095749998
hashbergers,5m,top10_share_5m,2,0.8627190190559966,0.7954753993100168,0.9299626388019764,6,1.0,0.9964919647286395,1.0
hashbergers,5m,n_net_long_5m,2,174.5,93.25,255.75,10,1.0,0.0,7.5
hashbergers,5m,mult_120s,2,8.034777857428445,4.769988306731471,11.29956740812542,10,1.075991760537035,0.9951736050878729,1.3319310664360142
hashbergers,5m,mult_300s,2,19.325305450480343,10.41525210325742,28.235358797703267,10,1.075991760537035,0.9951736050878729,1.3484120702718245
hashbergers,5m,dev_sold_by_120s (share true),2,0.0,,,10,1.0,,
hashbergers,5m,dev_sold_by_300s (share true),2,0.0,,,10,1.0,,
hashbergers,5m,member_buy_by_5m (share true),2,0.5,,,10,0.0,,
jester,1m,dev_supply_share,7,0.099948051904475,0.0759373540125,0.205077301925138,20,0.121834857595336,0.03431724861869,0.2
jester,1m,dev_first_buy_sol,7,3.08295004,2.2893260365,9.130916791718278,20,3.9412642210265947,1.4925932796483607,6.874391153
jester,1m,dev_same_slot_buyers,7,0.0,0.0,3.0,20,2.0,0.0,2.5
jester,1m,dev_fee_first_tx,7,8500.0,8500.0,505000.0,20,35000.0,5000.0,355000.0
jester,1m,dev_fee_med_60s,7,323939.5,8500.0,633890.0,19,502500.0,141843.5,916077.5
jester,1m,dev_fee_lamports_med,7,356222.5,164094.75,505000.0,20,502500.0,314580.5,1000000.0
jester,1m,dev_sold_share_60s,7,0.292093631314177,0.0,0.8836104632959836,19,0.7926399999999906,0.25,1.0
jester,1m,sol_in_1m,7,48.097555879,33.445805345,91.29602847921282,20,34.74378694725634,28.0879702835,60.89627784675
jester,1m,sol_out_1m,7,18.616180818,9.413478782000002,30.44972989384564,20,23.555168147499998,15.0553910865,30.50189499511591
jester,1m,net_sol_1m,7,29.472679807,12.661590384500004,49.71693206386718,20,10.945195660500001,4.95859496,19.62902879568164
